"","X","draw","alpha","beta","gamma","tau","cause_code","age_code"
"290",19290,290,2.752023802,0.016344633,0.531463713,3.038228161,"cvd_stroke",45
"291",19291,291,32.45747433,0.002506783,0.33044114,3.749390706,"cvd_stroke",45
"292",19292,292,7.248729572,0.004558932,0.463592403,4.860698357,"cvd_stroke",45
"293",19293,293,23.81606543,0.00646291,0.288947225,4.204144997,"cvd_stroke",45
"294",19294,294,1.942722216,0.014811102,0.652083601,2.445184171,"cvd_stroke",45
"295",19295,295,2.976642223,0.017424779,0.481244997,5.378642413,"cvd_stroke",45
"296",19296,296,11.62030739,0.005236051,0.413044983,5.841400495,"cvd_stroke",45
"297",19297,297,1.981218908,0.009861667,0.707309133,4.990039565,"cvd_stroke",45
"298",19298,298,94.79142318,0.000301739,0.457396508,4.894039605,"cvd_stroke",45
"299",19299,299,3.095756999,0.024866829,0.41835852,4.066387227,"cvd_stroke",45
"300",19300,300,2.650284678,0.006946175,0.750526598,4.767392102,"cvd_stroke",45
"301",19301,301,1.708889543,0.016799413,0.58393641,5.2160489,"cvd_stroke",45
"302",19302,302,7.357556975,0.010803008,0.378075606,3.059321409,"cvd_stroke",45
"303",19303,303,2.245488725,0.032021524,0.540796566,4.912598132,"cvd_stroke",45
"304",19304,304,2.214847879,0.031371079,0.466949261,4.193174619,"cvd_stroke",45
"305",19305,305,2.034339906,0.013897858,0.614393945,4.547314845,"cvd_stroke",45
"306",19306,306,1.507540036,0.013974749,0.793354599,3.325876317,"cvd_stroke",45
"307",19307,307,2.197621807,0.00995724,0.653334123,4.748012548,"cvd_stroke",45
"308",19308,308,21.75838997,0.004254395,0.331938477,5.486185006,"cvd_stroke",45
"309",19309,309,131.5538072,0.000609666,0.355350321,4.907856445,"cvd_stroke",45
"310",19310,310,3.753574753,0.004708164,0.572643594,5.27691299,"cvd_stroke",45
"311",19311,311,2.572652694,0.064852456,0.348547498,4.527378518,"cvd_stroke",45
"312",19312,312,3.025408077,0.043269216,0.385678526,2.792853549,"cvd_stroke",45
"313",19313,313,126.3531809,0.000755281,0.349949214,3.503977047,"cvd_stroke",45
"314",19314,314,2.830241183,0.005804743,0.925559284,5.487004134,"cvd_stroke",45
"315",19315,315,2.557235008,0.026578594,0.437497685,5.525317064,"cvd_stroke",45
"316",19316,316,17.37774526,0.004164142,0.380287689,2.73006607,"cvd_stroke",45
"317",19317,317,2.644467592,0.003905198,0.712940953,3.165788928,"cvd_stroke",45
"318",19318,318,45.90646023,0.003146716,0.290078236,5.220928858,"cvd_stroke",45
"319",19319,319,3.369311013,0.012987611,0.417690966,5.341065562,"cvd_stroke",45
"320",19320,320,3.184289854,0.020883393,0.439256327,5.442016539,"cvd_stroke",45
"321",19321,321,2.608439208,0.006410346,0.613652195,4.616526673,"cvd_stroke",45
